date,SEO tools tools,social media ads apps,social media ads solutions,social media ads services,content marketing software,content marketing platforms
2023-12-31,0,0,0,0,0,0
2024-01-07,55,0,0,0,0,0
2024-01-14,0,0,0,0,0,0
2024-01-21,84,0,0,0,0,0
2024-01-28,0,0,0,0,0,0
2024-02-04,0,0,0,0,0,0
2024-02-11,74,0,0,0,0,0
2024-02-18,0,0,0,0,0,0
2024-02-25,54,0,0,0,0,0
2024-03-03,55,0,0,0,0,0
2024-03-10,0,0,0,0,0,0
2024-03-17,76,0,0,0,0,0
2024-03-24,70,0,0,0,0,0
2024-03-31,0,0,0,0,0,0
2024-04-07,0,0,0,0,0,0
2024-04-14,0,0,0,0,0,0
2024-04-21,0,0,0,0,0,0
2024-04-28,0,0,0,0,0,0
2024-05-05,92,0,0,0,0,0
2024-05-12,0,0,0,95,0,0
2024-05-19,57,0,0,100,0,0
2024-05-26,0,0,0,0,0,0
2024-06-02,65,0,0,0,0,0
2024-06-09,0,0,0,0,0,0
2024-06-16,75,0,100,0,0,0
2024-06-23,60,0,0,0,0,0
2024-06-30,75,0,0,0,100,100
2024-07-07,62,0,0,0,0,0
2024-07-14,0,0,0,0,0,0
2024-07-21,0,0,0,0,0,0
2024-07-28,64,0,0,0,0,0
2024-08-04,0,0,0,0,0,0
2024-08-11,0,0,0,0,0,0
2024-08-18,59,0,0,0,0,0
2024-08-25,81,0,0,0,0,0
2024-09-01,74,0,0,0,0,0
2024-09-08,100,0,0,0,0,0
2024-09-15,62,0,0,0,0,0
2024-09-22,67,0,0,0,0,0
2024-09-29,0,0,0,0,0,0
2024-10-06,79,0,0,0,0,0
2024-10-13,65,0,0,0,0,0
2024-10-20,92,0,0,0,0,0
2024-10-27,88,0,0,0,0,0
2024-11-03,67,0,0,0,0,0
2024-11-10,0,0,0,0,0,0
2024-11-17,0,0,0,0,0,0
2024-11-24,0,100,0,0,0,0
2024-12-01,72,0,0,0,0,0
2024-12-08,72,0,0,0,0,0
2024-12-15,42,0,0,0,0,0
2024-12-22,66,0,0,0,0,0
2024-12-29,62,0,0,0,0,0
