date,intelligenza artificiale,energie rinnovabili,e-commerce
2023-12-31,69,44,68
2024-01-07,68,66,83
2024-01-14,77,66,82
2024-01-21,73,72,88
2024-01-28,66,61,87
2024-02-04,67,62,90
2024-02-11,68,46,85
2024-02-18,74,64,100
2024-02-25,69,66,94
2024-03-03,75,54,93
2024-03-10,65,68,90
2024-03-17,62,58,97
2024-03-24,58,54,86
2024-03-31,58,55,83
2024-04-07,71,63,74
2024-04-14,61,74,85
2024-04-21,59,54,90
2024-04-28,61,69,85
2024-05-05,63,81,86
2024-05-12,61,86,86
2024-05-19,77,98,87
2024-05-26,69,100,84
2024-06-02,63,81,88
2024-06-09,63,63,87
2024-06-16,100,84,76
2024-06-23,59,50,82
2024-06-30,52,44,76
2024-07-07,48,27,79
2024-07-14,50,36,81
2024-07-21,47,34,77
2024-07-28,38,22,72
2024-08-04,35,24,77
2024-08-11,31,15,70
2024-08-18,42,35,81
2024-08-25,48,34,84
2024-09-01,53,32,79
2024-09-08,61,39,85
2024-09-15,62,35,89
2024-09-22,61,42,91
2024-09-29,61,51,84
2024-10-06,67,43,85
2024-10-13,69,61,84
2024-10-20,70,50,90
2024-10-27,64,38,80
2024-11-03,67,59,86
2024-11-10,69,58,95
2024-11-17,70,49,90
2024-11-24,67,51,91
2024-12-01,65,46,90
2024-12-08,73,32,88
2024-12-15,67,48,77
2024-12-22,64,27,64
2024-12-29,55,26,57
